シーズン,集計基準日,打者名,打者球団,投手名,投手球団,対戦打席,対戦打数,安打,本塁打,四球,三振,打率,出塁率,長打率,OPS,サンプル不足フラグ,データの説明
2026,2026-08-09,牧原 大成,ソフトバンク,髙橋 光成,西武,11,11,1,0,0,4,0.0909,0.0909,0.0909,0.1818,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,武内 夏暉,西武,9,9,1,0,0,0,0.1111,0.1111,0.1111,0.2222,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,渡邉 勇太朗,西武,9,7,1,0,0,1,0.1429,0.1429,0.1429,0.2858,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,隅田 知一郎,西武,9,9,2,0,0,3,0.2222,0.2222,0.2222,0.4444,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,ウレーニャ,楽天,8,7,4,1,1,1,0.5714,0.625,1.2857,1.9107,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,菅井 信也,西武,8,6,1,0,1,2,0.1667,0.375,0.1667,0.5417,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,ジェリー,オリックス,7,5,3,0,2,0,0.6,0.7143,0.6,1.3143,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,廣池 康志郎,ロッテ,7,7,1,0,0,1,0.1429,0.1429,0.1429,0.2858,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,北山 亘基,日本ハム,6,6,2,0,0,1,0.3333,0.3333,0.3333,0.6666,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,有原 航平,日本ハム,6,5,2,0,1,1,0.4,0.5,0.6,1.1,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,達 孝太,日本ハム,6,6,0,0,0,1,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,エスピノーザ,オリックス,5,5,0,0,0,3,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,ロング,ロッテ,5,4,1,0,0,1,0.25,0.4,0.5,0.9,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,毛利 海大,ロッテ,5,5,0,0,0,2,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,牧原 大成,ソフトバンク,田中 晴也,ロッテ,5,5,0,0,0,3,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
