シーズン,集計基準日,選手名,球団,背番号,守備位置,試合数,打席数,打数,安打,本塁打,打点,盗塁,打率,出塁率,長打率,OPS,wRC+推定,W-Impact,直近5試合OPS,一軍登録日数,サンプル不足フラグ,データの説明
2026,2026-08-01,佐野 恵太,DeNA,7,一,90,377,337,88,5,35,0,0.261,0.34,0.365,0.705,127.0,111.5,0.512987012987013,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,度会 隆輝,DeNA,4,右,85,290,266,74,6,28,3,0.278,0.336,0.398,0.734,136.0,119.0,0.5641025641025641,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,勝又 温史,DeNA,28,左,76,287,273,84,3,32,3,0.308,0.333,0.381,0.714,125.0,114.5,0.40909090909090906,113,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,蝦名 達夫,DeNA,61,中,77,283,255,61,4,21,5,0.239,0.312,0.333,0.645,104.0,108.0,0.48830409356725146,123,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,牧 秀悟,DeNA,2,二,59,262,229,66,17,46,2,0.288,0.374,0.563,0.937,209.0,131.2,0.9407114624505929,88,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,宮﨑 敏郎,DeNA,51,三,70,252,225,61,8,28,0,0.271,0.345,0.413,0.758,146.0,112.0,0.9714285714285714,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,筒香 嘉智,DeNA,25,三,57,222,188,45,7,26,0,0.239,0.347,0.404,0.751,142.0,113.5,0.7857142857142857,106,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,松尾 汐恩,DeNA,5,捕,62,219,199,51,4,14,1,0.256,0.317,0.372,0.689,112.0,107.4,1.0546218487394958,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,山本 祐大,DeNA,50,捕,46,168,145,38,3,19,0,0.262,0.359,0.372,0.731,141.0,113.6,0.5718954248366013,82,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,ヒュンメル,DeNA,99,打,59,148,129,27,5,18,0,0.209,0.304,0.364,0.668,111.0,106.6,0.625,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,宮下 朝陽,DeNA,34,遊,40,131,123,30,4,16,2,0.244,0.285,0.374,0.659,90.0,110.7,0.6842105263157894,73,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,三森 大貴,DeNA,26,二,51,121,113,29,0,9,12,0.257,0.298,0.283,0.581,75.0,108.1,0.0,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,京田 陽太,DeNA,9,遊,43,111,103,25,1,11,1,0.243,0.291,0.311,0.602,84.0,107.0,0.5727272727272728,82,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,林 琢真,DeNA,00,二,38,102,92,23,1,16,4,0.25,0.3,0.38,0.68,106.0,113.3,1.2380952380952381,69,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,石上 泰輝,DeNA,44,遊,33,92,82,16,0,4,1,0.195,0.239,0.268,0.507,31.0,94.7,0.40404040404040403,74,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,エンカーナシオン,DeNA,69,右,21,90,88,27,5,21,0,0.307,0.322,0.523,0.845,173.0,117.6,0.40909090909090906,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,梶原 昂希,DeNA,58,中,28,73,64,13,1,5,2,0.203,0.292,0.328,0.62,92.0,102.2,0.125,55,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,成瀬 脩人,DeNA,48,二,20,49,49,12,0,5,0,0.245,0.245,0.265,0.51,40.0,102.1,0.2857142857142857,36,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,戸柱 恭孝,DeNA,10,捕,22,49,45,8,0,5,0,0.178,0.245,0.244,0.489,30.0,101.1,0.3205128205128205,129,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,東 克樹,DeNA,11,投,15,37,35,2,0,0,0,0.057,0.057,0.057,0.114,-125.0,77.7,0.15384615384615385,129,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,ビシエド,DeNA,,打,21,30,28,7,1,6,0,0.25,0.3,0.357,0.657,105.0,102.3,0.4,,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,石田 裕太郎,DeNA,54,投,14,28,23,2,0,1,0,0.087,0.087,0.087,0.174,-100.0,83.6,0.0,108,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,篠木 健太郎,DeNA,30,投,9,21,19,2,0,0,0,0.105,0.15,0.105,0.255,-56.0,88.4,0.16025641025641024,84,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,西川 龍馬,オリックス,7,左,96,411,384,112,6,37,1,0.292,0.329,0.398,0.727,113.0,105.9,1.0289473684210526,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,宗 佑磨,オリックス,6,三,90,362,312,73,7,36,4,0.234,0.324,0.353,0.677,101.0,104.0,0.5031055900621118,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,中川 圭太,オリックス,67,中,87,347,313,81,6,30,2,0.259,0.316,0.361,0.677,97.0,103.5,0.4019607843137255,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,紅林 弘太郎,オリックス,24,遊,89,340,298,75,12,32,1,0.252,0.332,0.416,0.748,122.0,109.7,0.7029411764705882,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,太田 椋,オリックス,1,二,81,334,298,84,8,38,0,0.282,0.356,0.43,0.786,136.0,112.8,1.2785714285714285,118,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,若月 健矢,オリックス,2,捕,74,234,202,43,1,13,0,0.213,0.277,0.287,0.564,55.0,94.1,0.35384615384615387,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,森 友哉,オリックス,4,指,60,233,210,54,7,24,0,0.257,0.33,0.4,0.73,118.0,102.2,0.5267857142857143,104,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,山中 稜真,オリックス,50,一,53,220,195,60,1,18,2,0.308,0.377,0.379,0.756,130.0,109.6,0.7698412698412698,75,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,渡部 遼人,オリックス,0,中,66,207,176,43,3,11,15,0.244,0.332,0.33,0.662,97.0,108.7,0.3333333333333333,107,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,来田 涼斗,オリックス,38,右,56,161,147,40,2,19,1,0.272,0.31,0.361,0.671,93.0,105.7,0.4809523809523809,109,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,シーモア,オリックス,45,一,42,144,139,22,3,15,0,0.158,0.181,0.245,0.426,-0.0,83.2,0.0,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,野口 智哉,オリックス,9,二,55,103,94,19,2,14,0,0.202,0.24,0.309,0.549,47.0,97.2,0.0,109,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,西野 真弘,オリックス,5,二,29,85,77,14,0,0,0,0.182,0.241,0.208,0.449,18.0,85.7,0.47916666666666663,99,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,杉澤 龍,オリックス,33,中,28,69,62,19,2,7,1,0.306,0.353,0.5,0.853,155.0,113.2,0.5833333333333334,73,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,廣岡 大志,オリックス,30,右,13,51,47,9,0,3,0,0.191,0.235,0.191,0.426,7.0,82.5,0.13333333333333333,23,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,杉本 裕太郎,オリックス,99,指,15,43,39,5,0,5,0,0.128,0.163,0.179,0.342,-31.0,86.0,0.11764705882352941,31,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,平沼 翔太,オリックス,61,打,23,35,33,8,0,2,0,0.242,0.286,0.303,0.589,54.0,96.0,0.6333333333333333,100,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,宜保 翔,オリックス,53,二,22,33,30,5,0,0,2,0.167,0.219,0.2,0.419,4.0,87.8,0.75,79,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,福永 奨,オリックス,32,捕,22,31,28,4,1,2,0,0.143,0.143,0.286,0.429,-4.0,93.5,0.4545454545454546,118,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,麦谷 祐介,オリックス,8,右,30,27,25,3,1,4,1,0.12,0.154,0.32,0.474,13.0,93.4,0.65,54,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,栗原 陵矢,ソフトバンク,24,三,94,414,361,94,30,76,0,0.26,0.346,0.571,0.917,175.0,122.6,0.6122994652406417,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,近藤 健介,ソフトバンク,3,左,91,392,322,100,23,79,5,0.311,0.423,0.59,1.013,209.0,135.0,1.378787878787879,127,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,周東 佑京,ソフトバンク,23,中,89,376,326,92,1,26,23,0.282,0.352,0.353,0.705,111.0,111.1,0.7543478260869565,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,牧原 大成,ソフトバンク,8,二,91,342,312,87,2,25,7,0.279,0.322,0.346,0.668,94.0,110.3,0.2863636363636364,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,柳田 悠岐,ソフトバンク,9,指,83,309,285,77,11,42,0,0.27,0.32,0.428,0.748,121.0,110.5,0.8901098901098901,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,正木 智也,ソフトバンク,31,一,56,265,224,66,16,40,0,0.295,0.396,0.549,0.945,189.0,122.4,1.2878787878787878,79,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,海野 隆司,ソフトバンク,62,捕,73,224,190,39,1,13,0,0.205,0.262,0.274,0.536,47.0,95.2,1.0,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,柳町 達,ソフトバンク,32,右,57,208,179,43,0,28,0,0.24,0.329,0.313,0.642,87.0,108.1,1.0555555555555556,100,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,山川 穂高,ソフトバンク,5,一,46,168,143,25,9,25,0,0.175,0.292,0.378,0.67,97.0,103.0,0.39285714285714285,67,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,庄子 雄大,ソフトバンク,25,遊,64,167,138,31,0,11,14,0.225,0.325,0.246,0.571,70.0,107.3,0.14285714285714285,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,今宮 健太,ソフトバンク,6,遊,45,130,118,23,1,10,0,0.195,0.25,0.254,0.504,35.0,92.1,0.3484848484848485,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,野村 勇,ソフトバンク,99,三,64,126,116,28,4,8,3,0.241,0.302,0.397,0.699,101.0,109.5,1.088815789473684,119,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,川瀬 晃,ソフトバンク,0,遊,42,99,85,21,0,10,0,0.247,0.316,0.341,0.657,90.0,110.1,1.0363636363636364,115,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,山本 恵大,ソフトバンク,77,右,18,62,56,15,3,7,0,0.268,0.339,0.464,0.803,143.0,102.5,0.9315789473684211,30,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,廣瀨 隆太,ソフトバンク,33,一,20,61,52,12,0,4,0,0.231,0.317,0.308,0.625,76.0,95.3,0.25757575757575757,62,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,谷川原 健太,ソフトバンク,45,右,56,46,44,9,0,2,0,0.205,0.239,0.25,0.489,27.0,98.8,0.4,129,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,渡邉 陸,ソフトバンク,00,捕,13,34,29,7,0,1,0,0.241,0.353,0.379,0.732,120.0,102.1,1.1166666666666667,80,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,中村 晃,ソフトバンク,7,打,23,33,31,4,0,2,0,0.129,0.182,0.161,0.343,-24.0,85.1,0.0,75,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,笹川 吉康,ソフトバンク,44,右,10,25,24,4,0,2,0,0.167,0.2,0.292,0.492,23.0,92.3,0.38181818181818183,16,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,川村 友斗,ソフトバンク,61,左,65,23,22,2,0,1,2,0.091,0.13,0.136,0.266,-56.0,94.3,0.5,129,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,サンタナ,ヤクルト,25,左,90,334,279,72,15,35,0,0.258,0.377,0.487,0.864,182.0,125.7,0.6875,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,長岡 秀樹,ヤクルト,7,遊,79,328,296,76,3,18,2,0.257,0.322,0.334,0.656,107.0,103.1,0.8616666666666666,114,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,岩田 幸宏,ヤクルト,64,中,86,313,294,72,1,17,27,0.245,0.283,0.293,0.576,72.0,105.0,0.5454545454545454,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,増田 珠,ヤクルト,63,右,77,263,234,67,7,27,2,0.286,0.354,0.406,0.76,146.0,116.9,0.6875,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,武岡 龍世,ヤクルト,60,三,77,234,211,48,3,21,0,0.227,0.296,0.341,0.637,92.0,105.9,0.6687306501547987,119,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,古賀 優大,ヤクルト,2,捕,64,232,214,58,1,29,1,0.271,0.303,0.322,0.625,89.0,111.7,0.8956043956043955,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,オスナ,ヤクルト,13,一,60,226,207,46,5,22,0,0.222,0.279,0.329,0.608,84.0,100.7,0.4111111111111111,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,内山 壮真,ヤクルト,3,二,56,219,191,41,5,18,2,0.215,0.311,0.34,0.651,104.0,101.4,0.5608695652173913,81,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,赤羽 由紘,ヤクルト,00,三左,64,199,183,44,4,16,6,0.24,0.291,0.355,0.646,99.0,113.6,1.0282608695652176,103,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,丸山 和郁,ヤクルト,4,右,39,112,106,36,2,11,5,0.34,0.366,0.472,0.838,169.0,122.3,0.7451923076923077,73,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,伊藤 琉偉,ヤクルト,67,二,61,109,97,15,2,7,2,0.155,0.234,0.247,0.481,25.0,93.6,0.0,113,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,鈴木 叶,ヤクルト,65,捕,24,87,84,17,1,10,0,0.202,0.23,0.31,0.54,51.0,103.0,0.3771929824561403,76,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,塩見 泰隆,ヤクルト,9,右,34,79,74,13,2,5,1,0.176,0.215,0.297,0.512,30.0,92.2,0.5166666666666666,65,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,松下 歩叶,ヤクルト,6,三,24,69,66,14,1,4,0,0.212,0.246,0.303,0.549,59.0,96.3,0.6470588235294118,48,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,モンテル,ヤクルト,90,中,33,68,64,21,1,4,5,0.328,0.368,0.438,0.806,163.0,113.7,0.6666666666666666,71,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,中村 悠平,ヤクルト,27,捕,32,65,58,11,0,1,0,0.19,0.254,0.276,0.53,48.0,96.0,0.6238095238095238,111,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,石井 巧,ヤクルト,38,三,23,55,47,7,1,2,1,0.149,0.259,0.234,0.493,48.0,95.0,0.26785714285714285,64,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,並木 秀尊,ヤクルト,0,中,18,45,44,12,1,2,8,0.273,0.289,0.341,0.63,91.0,109.5,0.5576923076923077,33,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,田中 陽翔,ヤクルト,54,打,22,44,43,9,0,3,0,0.209,0.227,0.233,0.46,22.0,97.0,0.0,49,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,茂木 栄五郎,ヤクルト,8,一,23,39,30,7,0,2,0,0.233,0.395,0.267,0.662,129.0,101.1,1.2666666666666666,57,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,山野 太一,ヤクルト,26,投,14,33,32,3,0,3,0,0.094,0.091,0.094,0.185,-96.0,85.7,0.0,108,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,奥川 恭伸,ヤクルト,18,投,13,29,29,1,0,1,0,0.034,0.034,0.034,0.068,-144.0,83.2,0.16666666666666666,111,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,セデーニョ,ヤクルト,98,一,10,28,27,5,0,2,0,0.185,0.214,0.259,0.473,26.0,97.0,0.4375,,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,吉村 貢司郎,ヤクルト,21,投,13,27,25,1,0,0,0,0.04,0.077,0.04,0.117,-115.0,82.9,0.0,99,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,宮本 丈,ヤクルト,10,打,24,27,25,8,1,4,0,0.32,0.37,0.48,0.85,181.0,113.0,0.8,61,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,澤井 廉,ヤクルト,42,一,11,27,24,4,1,2,0,0.167,0.259,0.333,0.592,82.0,95.9,0.18181818181818182,25,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,松本 健吾,ヤクルト,28,投,13,23,23,3,0,2,0,0.13,0.13,0.13,0.26,-63.0,89.8,0.0,108,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,高梨 裕稔,ヤクルト,40,投,9,20,20,2,0,3,0,0.1,0.1,0.15,0.25,-71.0,90.2,0.45454545454545453,63,はい,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,西川 史礁,ロッテ,6,左,87,378,341,102,7,39,2,0.299,0.368,0.431,0.799,142.0,114.5,0.8444444444444444,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,小川 龍成,ロッテ,57,二,91,328,303,82,0,12,5,0.271,0.307,0.304,0.611,75.0,100.2,0.8654970760233918,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,佐藤 都志也,ロッテ,32,捕,84,288,247,58,12,39,1,0.235,0.333,0.425,0.758,125.0,113.5,0.5686274509803921,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,ソト,ロッテ,99,一,83,284,255,61,13,36,0,0.239,0.31,0.435,0.745,118.0,107.8,0.8782894736842105,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,友杉 篤輝,ロッテ,4,遊,80,263,241,60,0,16,2,0.249,0.29,0.282,0.572,60.0,97.8,0.2222222222222222,118,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,藤原 恭大,ロッテ,1,右,58,257,221,64,5,31,5,0.29,0.385,0.407,0.792,143.0,113.9,0.6681818181818182,79,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,寺地 隆成,ロッテ,65,三,68,248,220,39,3,15,0,0.177,0.255,0.232,0.487,31.0,85.7,0.641025641025641,109,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,山口 航輝,ロッテ,51,左,62,224,205,58,17,41,0,0.283,0.339,0.6,0.939,184.0,125.4,1.0,106,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
