date,game_id,home,away,stadium,stadium_side,inning,top_bottom,half,batting_team,fielding_team,atbat_index,atbat_no,batter,batter_id,batter_key,bat_hand,pitcher,pitcher_id,pitcher_key,pit_hand,outs,r1,r2,r3,runners_code,risp,pitch_no,balls_before,strikes_before,count_before,pitch_type,speed_kmh,zone_row,zone_col,zone_label,in_zone,pitch_result,pitch_kind,is_swing,is_miss,is_called,is_foul,is_ball,is_inplay,is_last_pitch,ab_result,ab_out_type,ab_hit,ab_rbi
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210300,9,石伊 雄太,2105102,p2105102,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,1,0,0,0-0,ストレート,149,2,1,真ん中・外,True,見逃し,strike,False,False,True,False,False,False,False,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210300,9,石伊 雄太,2105102,p2105102,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,2,0,1,0-1,カーブ,119,2,0,真ん中・外,False,見逃し,strike,False,False,True,False,False,False,False,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210300,9,石伊 雄太,2105102,p2105102,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,3,0,2,0-2,ストレート,147,1,1,高め・外,True,ファウル,strike,True,False,False,True,False,False,False,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210300,9,石伊 雄太,2105102,p2105102,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,4,0,2,0-2,カットボール,136,4,0,低め・外,False,ボール[クイック投法],ball,False,False,False,False,True,False,False,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210300,9,石伊 雄太,2105102,p2105102,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,5,1,2,1-2,ストレート,149,4,0,低め・外,False,ボール,ball,False,False,False,False,True,False,False,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210300,9,石伊 雄太,2105102,p2105102,右打,吉村 貢司郎,2103794,p2103794,右投,2,False,False,False,b000,False,6,2,2,2-2,カットボール,,2,0,真ん中・外,False,遊安[ダイビングキャッチ、送球がバウンド],hit,True,False,False,False,False,True,True,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210400,10,石川 昂弥,1900037,p1900037,右打,吉村 貢司郎,2103794,p2103794,右投,3,True,False,False,b100,False,1,0,0,0-0,スライダー,129,3,0,低め・外,False,ボール,ball,False,False,False,False,True,False,False,見逃し三振,三振,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210400,10,石川 昂弥,1900037,p1900037,右打,吉村 貢司郎,2103794,p2103794,右投,3,True,False,False,b100,False,2,1,0,1-0,カットボール,134,2,0,真ん中・外,False,見逃し,strike,False,False,True,False,False,False,False,見逃し三振,三振,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210400,10,石川 昂弥,1900037,p1900037,右打,吉村 貢司郎,2103794,p2103794,右投,3,True,False,False,b100,False,3,1,1,1-1,フォーク,137,4,1,低め・外,False,空振り,strike,True,True,False,False,False,False,False,見逃し三振,三振,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,2,表,2表,中日,ヤクルト,0210400,10,石川 昂弥,1900037,p1900037,右打,吉村 貢司郎,2103794,p2103794,右投,3,True,False,False,b100,False,4,1,2,1-2,ストレート,149,4,1,低め・外,False,見三振,strike,True,False,False,False,False,True,True,見逃し三振,三振,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220100,11,サンタナ,2000135,p2000135,右打,金丸 夢斗,2108462,p2108462,左投,0,False,False,False,b000,False,1,0,0,0-0,ストレート,148,1,1,高め・外,True,見逃し,strike,False,False,True,False,False,False,False,右安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220100,11,サンタナ,2000135,p2000135,右打,金丸 夢斗,2108462,p2108462,左投,0,False,False,False,b000,False,2,0,1,0-1,チェンジアップ,118,3,0,低め・外,False,ボール,ball,False,False,False,False,True,False,False,右安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220100,11,サンタナ,2000135,p2000135,右打,金丸 夢斗,2108462,p2108462,左投,0,False,False,False,b000,False,3,1,1,1-1,スライダー,129,2,2,真ん中・真ん中,True,ファウル[自打球],strike,True,False,False,True,False,False,False,右安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220100,11,サンタナ,2000135,p2000135,右打,金丸 夢斗,2108462,p2108462,左投,0,False,False,False,b000,False,4,1,2,1-2,スライダー,129,3,2,低め・真ん中,True,ファウル,strike,True,False,False,True,False,False,False,右安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220100,11,サンタナ,2000135,p2000135,右打,金丸 夢斗,2108462,p2108462,左投,0,False,False,False,b000,False,5,1,2,1-2,ストレート,,3,1,低め・外,True,右安,hit,True,False,False,False,False,True,True,右安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220200,12,岩田 幸宏,2103917,p2103917,左打,金丸 夢斗,2108462,p2108462,左投,1,True,False,False,b100,False,1,0,0,0-0,ストレート,,1,1,高め・外,True,三直,out,True,False,False,False,False,True,True,三ライナー,ライナー,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220300,13,オスナ,2000133,p2000133,右打,金丸 夢斗,2108462,p2108462,左投,1,True,False,False,b100,False,1,0,0,0-0,チェンジアップ,124,4,0,低め・外,False,ボール[ワンバウンド],ball,False,False,False,False,True,False,False,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220300,13,オスナ,2000133,p2000133,右打,金丸 夢斗,2108462,p2108462,左投,1,True,False,False,b100,False,2,1,0,1-0,ストレート,150,3,1,低め・外,True,ファウル,strike,True,False,False,True,False,False,False,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220300,13,オスナ,2000133,p2000133,右打,金丸 夢斗,2108462,p2108462,左投,1,True,False,False,b100,False,3,1,1,1-1,スプリット,,2,1,真ん中・外,True,遊安[ダイビングキャッチ],hit,True,False,False,False,False,True,True,遊安打,,1,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220400,14,古賀 優大,1600078,p1600078,右打,金丸 夢斗,2108462,p2108462,左投,2,True,True,False,b110,True,1,0,0,0-0,スライダー,133,2,2,真ん中・真ん中,True,ファウル,strike,True,False,False,True,False,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220400,14,古賀 優大,1600078,p1600078,右打,金丸 夢斗,2108462,p2108462,左投,2,True,True,False,b110,True,2,0,1,0-1,チェンジアップ,123,4,1,低め・外,False,空振り[ワンバウンド],strike,True,True,False,False,False,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220400,14,古賀 優大,1600078,p1600078,右打,金丸 夢斗,2108462,p2108462,左投,2,True,True,False,b110,True,3,0,2,0-2,ストレート,148,2,1,真ん中・外,True,ファウル,strike,True,False,False,True,False,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220400,14,古賀 優大,1600078,p1600078,右打,金丸 夢斗,2108462,p2108462,左投,2,True,True,False,b110,True,4,0,2,0-2,チェンジアップ,,3,1,低め・外,True,三ゴロ,out,True,False,False,False,False,True,True,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220500,15,松下 歩叶,2116854,p2116854,右打,金丸 夢斗,2108462,p2108462,左投,3,True,False,True,b101,True,1,0,0,0-0,スライダー,135,4,3,低め・内,False,空振り[ワンバウンド],strike,True,True,False,False,False,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220500,15,松下 歩叶,2116854,p2116854,右打,金丸 夢斗,2108462,p2108462,左投,3,True,False,True,b101,True,2,0,1,0-1,ストレート,150,3,0,低め・外,False,ボール,ball,False,False,False,False,True,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220500,15,松下 歩叶,2116854,p2116854,右打,金丸 夢斗,2108462,p2108462,左投,3,True,False,True,b101,True,3,1,1,1-1,スライダー,132,4,1,低め・外,False,空振り,strike,True,True,False,False,False,False,False,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,home,2,裏,2裏,ヤクルト,中日,0220500,15,松下 歩叶,2116854,p2116854,右打,金丸 夢斗,2108462,p2108462,左投,3,True,False,True,b101,True,4,1,2,1-2,スプリット,,3,1,低め・外,True,三ゴロ,out,True,False,False,False,False,True,True,三ゴロ,ゴロ,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,3,表,3表,中日,ヤクルト,0310100,16,田中 幹也,1750701,p1750701,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,1,0,0,0-0,ストレート,144,0,3,高め・内,False,ボール,ball,False,False,False,False,True,False,False,右ファウルフライ,,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,3,表,3表,中日,ヤクルト,0310100,16,田中 幹也,1750701,p1750701,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,2,1,0,1-0,ストレート,144,1,2,高め・真ん中,True,見逃し,strike,False,False,True,False,False,False,False,右ファウルフライ,,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,3,表,3表,中日,ヤクルト,0310100,16,田中 幹也,1750701,p1750701,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,3,1,1,1-1,スライダー,132,0,2,高め・真ん中,False,ファウル,strike,True,False,False,True,False,False,False,右ファウルフライ,,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,3,表,3表,中日,ヤクルト,0310100,16,田中 幹也,1750701,p1750701,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,4,1,2,1-2,ストレート,149,3,1,低め・外,True,ファウル,strike,True,False,False,True,False,False,False,右ファウルフライ,,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,3,表,3表,中日,ヤクルト,0310100,16,田中 幹也,1750701,p1750701,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,5,1,2,1-2,カーブ,,1,2,高め・真ん中,True,ファウル,strike,True,False,False,True,False,False,False,右ファウルフライ,,0,0
2026-06-28,2021039062,ヤクルト,中日,神宮,away,3,表,3表,中日,ヤクルト,0310100,16,田中 幹也,1750701,p1750701,右打,吉村 貢司郎,2103794,p2103794,右投,1,False,False,False,b000,False,6,1,2,1-2,カットボール,136,4,0,低め・外,False,ボール[クイック投法],ball,False,False,False,False,True,False,False,右ファウルフライ,,0,0
