season,player_key,player_id,player,team,league,number,hand,qualified,games,innings,outs,batters_faced,pitches,hits_allowed,hr_allowed,so,bb,hbp,runs_allowed,earned_runs,wins,losses,saves,holds_official,holds_est,relief_wins,hp,era,fip,whip,k9,bb9,hr9,k_bb,k_pct,bb_pct,lob_pct_est,win_pct
2026,p2108148,2108148,ジェリー,オリックス,パ,69,右投,False,17,89,267,378,1445,89,4,74,23,9,31,27,3,7,0,0,0,0,0,2.73,2.73,1.26,7.48,2.33,0.4,3.22,0.196,0.061,0.78,0.3
2026,p1660014,1660014,ペルドモ,オリックス,パ,59,右投,False,10,14.2,44,75,273,23,2,11,8,1,15,15,1,3,0,3,3,1,4,9.2,4.84,2.11,6.75,4.91,1.23,1.38,0.147,0.107,0.582,0.25
2026,p1961416,1961416,マチャド,オリックス,パ,42,右投,False,36,37.2,113,141,523,25,3,36,4,1,4,4,2,0,24,6,6,2,8,0.96,2.25,0.77,8.6,0.96,0.72,9.0,0.255,0.028,1.0,1.0
2026,p1300058,1300058,九里 亜蓮,オリックス,パ,22,右投,True,19,120,360,502,2026,102,11,119,43,9,45,39,7,7,0,0,0,0,0,2.92,3.24,1.21,8.93,3.23,0.82,2.77,0.237,0.086,0.786,0.5
2026,p1900092,1900092,佐藤 一磨,オリックス,パ,93,左投,False,5,6,18,33,139,8,5,2,7,0,7,6,0,1,0,0,0,0,0,9.0,16.4,2.5,3.0,10.5,7.5,0.29,0.061,0.212,1.0,0.0
2026,p2107693,2107693,入山 海斗,オリックス,パ,68,右投,False,33,29.1,88,120,498,16,3,20,11,4,9,9,1,0,0,2,2,1,3,2.76,4.23,0.92,6.14,3.38,0.92,1.82,0.167,0.092,0.821,1.0
2026,p1700101,1700101,博志,オリックス,パ,66,右投,False,17,31.1,94,118,434,22,2,16,13,1,8,8,2,0,0,0,1,2,3,2.3,3.88,1.12,4.6,3.73,0.57,1.23,0.136,0.11,0.843,1.0
2026,p2103710,2103710,古田島 成龍,オリックス,パ,35,右投,False,6,5,15,26,123,7,1,4,4,1,4,4,0,0,0,3,3,0,3,7.2,6.73,2.2,7.2,7.2,1.8,1.0,0.154,0.154,0.755,
2026,p1800090,1800090,吉田 輝星,オリックス,パ,23,右投,False,26,21.1,64,91,353,22,3,21,7,1,10,10,2,2,0,8,8,2,10,4.22,3.71,1.36,8.86,2.95,1.27,3.0,0.231,0.077,0.775,0.5
2026,p2108361,2108361,宮國 凌空,オリックス,パ,65,右投,False,8,13,39,63,221,22,0,8,5,0,13,13,0,1,0,0,0,0,0,9.0,2.65,2.08,5.54,3.46,0.0,1.6,0.127,0.079,0.519,0.0
2026,p1900087,1900087,宮城 大弥,オリックス,パ,18,左投,False,3,13.1,40,63,237,20,1,17,3,0,12,6,1,1,0,0,0,0,0,4.05,1.83,1.72,11.47,2.02,0.67,5.67,0.27,0.048,0.509,0.5
2026,p1800101,1800101,富山 凌雅,オリックス,パ,28,左投,False,1,1,3,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,5.73,1.0,0.0,9.0,0.0,0.0,0.0,0.333,1.0,
2026,p1851026,1851026,寺西 成騎,オリックス,パ,13,右投,False,26,49,147,219,832,55,3,42,15,2,27,23,4,2,0,9,9,2,11,4.22,2.85,1.43,7.71,2.76,0.55,2.8,0.192,0.068,0.664,0.667
2026,p2117673,2117673,山口 廉王,オリックス,パ,47,右投,False,1,4,12,19,74,5,1,5,3,0,3,3,0,0,0,0,0,0,0,6.75,5.73,2.0,11.25,6.75,2.25,1.67,0.263,0.158,0.758,
2026,p1600150,1600150,山岡 泰輔,オリックス,パ,19,右投,False,8,6.2,20,32,135,8,1,5,3,0,6,5,0,0,1,0,0,0,0,6.75,4.53,1.65,6.75,4.05,1.35,1.67,0.156,0.094,0.521,
2026,p1000011,1000011,山田 修義,オリックス,パ,57,左投,False,14,8,24,37,159,6,0,9,8,0,1,1,0,0,0,2,2,0,2,1.12,3.48,1.75,10.12,9.0,0.0,1.12,0.243,0.216,0.929,
